accuracy,avg_evidence_recall,avg_official_score,avg_ppl,avg_primary_score,avg_tokens_per_second,contains_ground_truth,context_length,method,n,official_accuracy
0.0,0.0,10.2293,7.8296856574809075,10.2293,73.58953311969863,0.0,1599,full,1,0.0
0.0,0.0,7.215,6.845030737393235,7.215,76.24468707065847,0.0,1712,full,1,0.0
0.0,0.0,11.5993,10.079320401091804,11.5993,77.00126573898737,0.0,1599,keydiff,1,0.0
0.0,0.0,11.0497,10.141027815167337,11.0497,76.6597067418743,0.0,1712,keydiff,1,0.0
0.0,0.0,1.6892,271.8761630414751,1.6892,77.81960630253646,0.0,1599,knorm,1,0.0
0.0,0.0,5.638,100.55630038073436,5.638,77.79911184752693,0.0,1712,knorm,1,0.0
0.0,0.0,12.0898,8.813904809194645,12.0898,78.44145597708881,0.0,1599,sink_recent_random,1,0.0
0.0,0.0,9.7493,9.099240222177581,9.7493,78.56679811968148,0.0,1712,sink_recent_random,1,0.0
0.0,0.0,0.0,68165.89919846301,0.0,77.88552554005466,0.0,1599,vnorml2,1,0.0
0.0,0.0,0.0,17336.321391876896,0.0,77.77424480170237,0.0,1712,vnorml2,1,0.0
