accuracy,avg_evidence_recall,avg_official_score,avg_ppl,avg_primary_score,avg_tokens_per_second,contains_ground_truth,context_length,method,n,official_accuracy
0.0,0.0,19.3159,3.9666808516928462,19.3159,80.88530866078688,0.0,1399,full,1,0.0
0.0,0.0,8.4656,12.835118650762164,8.4656,87.45215295432075,0.0,1743,full,1,0.0
0.0,0.0,11.0092,5.166269590779751,11.0092,80.0989976552867,0.0,2881,full,1,0.0
0.0,0.0,11.6232,6.798398105560431,11.6232,67.3681816473887,0.0,1399,latest_attention_shared,1,0.0
0.0,0.0,7.4468,18.96097297012653,7.4468,74.27486305648874,0.0,1743,latest_attention_shared,1,0.0
0.0,0.0,7.6845,5.495774323855386,7.6845,73.73412073424764,0.0,2881,latest_attention_shared,1,0.0
0.0,0.0,12.4748,6.448390510454771,12.4748,82.60962291151972,0.0,1399,position_coverage_shared,1,0.0
0.0,0.0,9.9087,17.342314050986392,9.9087,83.19392074151078,0.0,1743,position_coverage_shared,1,0.0
0.0,0.0,7.3413,6.25648273671067,7.3413,83.07309690581042,0.0,2881,position_coverage_shared,1,0.0
0.0,0.0,6.6806,6.5335675407512115,6.6806,82.26579723673566,0.0,1399,token_rarity_shared,1,0.0
0.0,0.0,10.2497,18.34958454406285,10.2497,83.16332275836047,0.0,1743,token_rarity_shared,1,0.0
0.0,0.0,7.3486,6.171526962482422,7.3486,83.64706193161618,0.0,2881,token_rarity_shared,1,0.0
