sample_id,task,anchor,strategy,1,4,16,64,rank_change_1_to_4,rank_reversal_1_to_4,rank_change_1_to_16,rank_reversal_1_to_16,rank_change_1_to_64,rank_reversal_1_to_64,rank_change_4_to_16,rank_reversal_4_to_16,rank_change_4_to_64,rank_reversal_4_to_64,rank_change_16_to_64,rank_reversal_16_to_64
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,2.0,4.0,3.0,2.0,2.0,True,1.0,True,0.0,False,-1.0,True,-2.0,True,-1.0,True
gov_report:0,gov_report,0,future_attention_oracle,1.0,2.0,1.0,1.0,1.0,True,0.0,False,0.0,False,-1.0,True,-1.0,True,0.0,False
gov_report:0,gov_report,0,snapkv,3.0,3.0,2.0,3.0,0.0,False,-1.0,True,0.0,False,-1.0,True,0.0,False,1.0,True
gov_report:0,gov_report,0,v_ridge_leverage,4.0,1.0,4.0,4.0,-3.0,True,0.0,False,0.0,False,3.0,True,3.0,True,0.0,False
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,3.0,3.0,3.0,3.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
gov_report:0,gov_report,16,future_attention_oracle,1.0,2.0,2.0,1.0,1.0,True,1.0,True,0.0,False,0.0,False,-1.0,True,-1.0,True
gov_report:0,gov_report,16,snapkv,2.0,1.0,1.0,2.0,-1.0,True,-1.0,True,0.0,False,0.0,False,1.0,True,1.0,True
gov_report:0,gov_report,16,v_ridge_leverage,4.0,4.0,4.0,4.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,3.0,3.0,4.0,3.0,0.0,False,1.0,True,0.0,False,1.0,True,0.0,False,-1.0,True
gov_report:0,gov_report,48,future_attention_oracle,2.0,2.0,2.0,1.0,0.0,False,0.0,False,-1.0,True,0.0,False,-1.0,True,-1.0,True
gov_report:0,gov_report,48,snapkv,1.0,1.0,1.0,2.0,0.0,False,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True
gov_report:0,gov_report,48,v_ridge_leverage,4.0,4.0,3.0,4.0,0.0,False,-1.0,True,0.0,False,-1.0,True,0.0,False,1.0,True
gov_report:1,gov_report,0,attention_weighted_v_ridge_leverage,4.0,4.0,1.0,2.0,0.0,False,-3.0,True,-2.0,True,-3.0,True,-2.0,True,1.0,True
gov_report:1,gov_report,0,future_attention_oracle,2.0,3.0,2.0,1.0,1.0,True,0.0,False,-1.0,True,-1.0,True,-2.0,True,-1.0,True
gov_report:1,gov_report,0,snapkv,1.0,1.0,3.0,3.0,0.0,False,2.0,True,2.0,True,2.0,True,2.0,True,0.0,False
gov_report:1,gov_report,0,v_ridge_leverage,3.0,2.0,4.0,4.0,-1.0,True,1.0,True,1.0,True,2.0,True,2.0,True,0.0,False
gov_report:1,gov_report,16,attention_weighted_v_ridge_leverage,1.0,3.0,2.0,3.0,2.0,True,1.0,True,2.0,True,-1.0,True,0.0,False,1.0,True
gov_report:1,gov_report,16,future_attention_oracle,3.0,2.0,1.0,1.0,-1.0,True,-2.0,True,-2.0,True,-1.0,True,-1.0,True,0.0,False
gov_report:1,gov_report,16,snapkv,2.0,1.0,3.0,2.0,-1.0,True,1.0,True,0.0,False,2.0,True,1.0,True,-1.0,True
gov_report:1,gov_report,16,v_ridge_leverage,4.0,4.0,4.0,4.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
gov_report:1,gov_report,48,attention_weighted_v_ridge_leverage,3.0,4.0,2.0,2.0,1.0,True,-1.0,True,-1.0,True,-2.0,True,-2.0,True,0.0,False
gov_report:1,gov_report,48,future_attention_oracle,2.0,2.0,1.0,1.0,0.0,False,-1.0,True,-1.0,True,-1.0,True,-1.0,True,0.0,False
gov_report:1,gov_report,48,snapkv,1.0,3.0,3.0,3.0,2.0,True,2.0,True,2.0,True,0.0,False,0.0,False,0.0,False
gov_report:1,gov_report,48,v_ridge_leverage,4.0,1.0,4.0,4.0,-3.0,True,0.0,False,0.0,False,3.0,True,3.0,True,0.0,False
gov_report:2,gov_report,0,attention_weighted_v_ridge_leverage,2.0,3.0,2.0,2.0,1.0,True,0.0,False,0.0,False,-1.0,True,-1.0,True,0.0,False
gov_report:2,gov_report,0,future_attention_oracle,4.0,2.0,1.0,1.0,-2.0,True,-3.0,True,-3.0,True,-1.0,True,-1.0,True,0.0,False
gov_report:2,gov_report,0,snapkv,3.0,1.0,3.0,4.0,-2.0,True,0.0,False,1.0,True,2.0,True,3.0,True,1.0,True
gov_report:2,gov_report,0,v_ridge_leverage,1.0,4.0,4.0,3.0,3.0,True,3.0,True,2.0,True,0.0,False,-1.0,True,-1.0,True
gov_report:2,gov_report,16,attention_weighted_v_ridge_leverage,3.0,1.0,3.0,3.0,-2.0,True,0.0,False,0.0,False,2.0,True,2.0,True,0.0,False
gov_report:2,gov_report,16,future_attention_oracle,4.0,2.0,1.0,1.0,-2.0,True,-3.0,True,-3.0,True,-1.0,True,-1.0,True,0.0,False
gov_report:2,gov_report,16,snapkv,2.0,4.0,2.0,2.0,2.0,True,0.0,False,0.0,False,-2.0,True,-2.0,True,0.0,False
gov_report:2,gov_report,16,v_ridge_leverage,1.0,3.0,4.0,4.0,2.0,True,3.0,True,3.0,True,1.0,True,1.0,True,0.0,False
gov_report:2,gov_report,48,attention_weighted_v_ridge_leverage,3.0,3.0,3.0,3.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
gov_report:2,gov_report,48,future_attention_oracle,2.0,2.0,2.0,1.0,0.0,False,0.0,False,-1.0,True,0.0,False,-1.0,True,-1.0,True
gov_report:2,gov_report,48,snapkv,1.0,1.0,1.0,2.0,0.0,False,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True
gov_report:2,gov_report,48,v_ridge_leverage,4.0,4.0,4.0,4.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
gov_report:3,gov_report,0,attention_weighted_v_ridge_leverage,3.0,3.0,3.0,2.0,0.0,False,0.0,False,-1.0,True,0.0,False,-1.0,True,-1.0,True
gov_report:3,gov_report,0,future_attention_oracle,4.0,2.0,2.0,1.0,-2.0,True,-2.0,True,-3.0,True,0.0,False,-1.0,True,-1.0,True
gov_report:3,gov_report,0,snapkv,2.0,1.0,1.0,4.0,-1.0,True,-1.0,True,2.0,True,0.0,False,3.0,True,3.0,True
gov_report:3,gov_report,0,v_ridge_leverage,1.0,4.0,4.0,3.0,3.0,True,3.0,True,2.0,True,0.0,False,-1.0,True,-1.0,True
gov_report:3,gov_report,16,attention_weighted_v_ridge_leverage,3.0,2.0,2.0,3.0,-1.0,True,-1.0,True,0.0,False,0.0,False,1.0,True,1.0,True
gov_report:3,gov_report,16,future_attention_oracle,2.0,1.0,3.0,1.0,-1.0,True,1.0,True,-1.0,True,2.0,True,0.0,False,-2.0,True
gov_report:3,gov_report,16,snapkv,1.0,3.0,1.0,2.0,2.0,True,0.0,False,1.0,True,-2.0,True,-1.0,True,1.0,True
gov_report:3,gov_report,16,v_ridge_leverage,4.0,4.0,4.0,4.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
gov_report:3,gov_report,48,attention_weighted_v_ridge_leverage,3.0,4.0,3.0,2.0,1.0,True,0.0,False,-1.0,True,-1.0,True,-2.0,True,-1.0,True
