sample_id,task,previous_anchor,anchor,horizon,proxy,proxy_regret,fresh_proxy_risk,stale_proxy_risk,fresh_teacher_risk,stale_teacher_risk,teacher_refresh_benefit,fresh_action_id,stale_action_id,panel_margin_teacher,panel_spread_teacher,panel_margin_proxy,panel_spread_proxy,kl_offset1,kl_slope_early,fisher_mean_early,delta_nll_mean_early,logit_l2_mean_early,kl_max_early,n_offsets,proxy_risk_ratio,churn_binary
synthetic_niah_61,niah_single_1,16,32,1,attention_mean_w1_shared,0.21891679049688118,0.18086266975093512,0.3997794602478163,0.002015797421336174,0.014495990239083767,0.012480192817747593,85d202a0c3a7b3c3b55f74b344f7c3af3413f65c8f6a59a9de380afb905fb78a,4540e30a3d4411e4b75c3f05d1dab692fb216d83faf71030fc4e8fcaaa232682,0.00026728399097919464,0.054563725367188454,0.0120294201692831,0.7203413006976395,0.014495990239083767,-0.001978006167337298,0.011041926802136004,0.07786031067371368,10245.275390625,0.014495990239083767,16,2.2104034005378232,1.0
synthetic_niah_61,niah_single_1,16,32,4,attention_mean_w1_shared,0.21891679049688118,0.18086266975093512,0.3997794602478163,0.0025787040940485895,0.011266185319982469,0.00868748122593388,85d202a0c3a7b3c3b55f74b344f7c3af3413f65c8f6a59a9de380afb905fb78a,4540e30a3d4411e4b75c3f05d1dab692fb216d83faf71030fc4e8fcaaa232682,5.728827090933919e-06,0.04045416004373692,0.0120294201692831,0.7203413006976395,0.014495990239083767,-0.001978006167337298,0.011041926802136004,0.07786031067371368,10245.275390625,0.014495990239083767,16,2.2104034005378232,1.0
synthetic_niah_61,niah_single_1,16,32,8,attention_mean_w1_shared,0.21891679049688118,0.18086266975093512,0.3997794602478163,0.023313542449614033,0.036461653595324606,0.013148111145710573,85d202a0c3a7b3c3b55f74b344f7c3af3413f65c8f6a59a9de380afb905fb78a,4540e30a3d4411e4b75c3f05d1dab692fb216d83faf71030fc4e8fcaaa232682,0.0007229732727864757,0.44643438507046085,0.0120294201692831,0.7203413006976395,0.014495990239083767,-0.001978006167337298,0.011041926802136004,0.07786031067371368,10245.275390625,0.014495990239083767,16,2.2104034005378232,1.0
synthetic_niah_61,niah_single_1,16,32,16,attention_mean_w1_shared,0.21891679049688118,0.18086266975093512,0.3997794602478163,1.4771482416002755,0.020409808344112434,-1.456738433256163,85d202a0c3a7b3c3b55f74b344f7c3af3413f65c8f6a59a9de380afb905fb78a,4540e30a3d4411e4b75c3f05d1dab692fb216d83faf71030fc4e8fcaaa232682,0.22284706367750573,3.513130248139788,0.0120294201692831,0.7203413006976395,0.014495990239083767,-0.001978006167337298,0.011041926802136004,0.07786031067371368,10245.275390625,0.014495990239083767,16,2.2104034005378232,1.0
synthetic_niah_61,niah_single_1,32,48,1,attention_mean_w1_shared,0.2733430891874647,0.2220300838962811,0.4953731730837458,0.000454229797469452,0.006262296810746193,0.005808067013276741,047bdb51e86f3b878df7bd3bbdab97c662d0333cf86152ca26628255387b6168,85d202a0c3a7b3c3b55f74b344f7c3af3413f65c8f6a59a9de380afb905fb78a,0.00019540174980647862,0.0438009784265887,0.005612352450234115,0.715322815064651,0.006262296810746193,0.04565067421644926,0.05702697264496237,0.16870980709791183,15590.873779296875,0.3214126527309418,16,2.2311083452779035,1.0
synthetic_niah_61,niah_single_1,32,48,4,attention_mean_w1_shared,0.2733430891874647,0.2220300838962811,0.4953731730837458,0.003082632909354288,0.10642392141744494,0.10334128850809066,047bdb51e86f3b878df7bd3bbdab97c662d0333cf86152ca26628255387b6168,85d202a0c3a7b3c3b55f74b344f7c3af3413f65c8f6a59a9de380afb905fb78a,9.217899787472561e-05,0.20216014992183773,0.005612352450234115,0.715322815064651,0.006262296810746193,0.04565067421644926,0.05702697264496237,0.16870980709791183,15590.873779296875,0.3214126527309418,16,2.2311083452779035,1.0
synthetic_niah_61,niah_single_1,32,48,8,attention_mean_w1_shared,0.2733430891874647,0.2220300838962811,0.4953731730837458,0.006912528337124968,0.1473895754897967,0.14047704715267173,047bdb51e86f3b878df7bd3bbdab97c662d0333cf86152ca26628255387b6168,85d202a0c3a7b3c3b55f74b344f7c3af3413f65c8f6a59a9de380afb905fb78a,0.0005235182725300547,0.3410120440457831,0.005612352450234115,0.715322815064651,0.006262296810746193,0.04565067421644926,0.05702697264496237,0.16870980709791183,15590.873779296875,0.3214126527309418,16,2.2311083452779035,1.0
synthetic_niah_61,niah_single_1,32,48,16,attention_mean_w1_shared,0.2733430891874647,0.2220300838962811,0.4953731730837458,0.7468964819401975,1.174713771615643,0.4278172896754455,047bdb51e86f3b878df7bd3bbdab97c662d0333cf86152ca26628255387b6168,85d202a0c3a7b3c3b55f74b344f7c3af3413f65c8f6a59a9de380afb905fb78a,0.12854021316025666,1.389838472454251,0.005612352450234115,0.715322815064651,0.006262296810746193,0.04565067421644926,0.05702697264496237,0.16870980709791183,15590.873779296875,0.3214126527309418,16,2.2311083452779035,1.0
synthetic_niah_62,niah_single_1,16,32,1,attention_mean_w1_shared,0.2685230688838453,0.15911386504035546,0.42763693392420077,0.008922908455133438,0.021505095064640045,0.012582186609506607,3658c4aeea3699b57836669a71a3b1a7e2413104c62050bee1cd6a1b48b313b0,87d085a8c8dfac5a5d64e020452657bf11acec8aae9fd121963e71b7fd3c21e4,5.439016968011856e-05,0.028328620363026857,0.011165478458783046,0.7386464008785794,0.021505095064640045,-1.0800221934917377e-05,0.01624302880372852,0.0709885498508811,13288.49365234375,0.023914296180009842,16,2.6876157763859285,1.0
synthetic_niah_62,niah_single_1,16,32,4,attention_mean_w1_shared,0.2685230688838453,0.15911386504035546,0.42763693392420077,0.004885749938694062,0.01494714745786041,0.010061397519166349,3658c4aeea3699b57836669a71a3b1a7e2413104c62050bee1cd6a1b48b313b0,87d085a8c8dfac5a5d64e020452657bf11acec8aae9fd121963e71b7fd3c21e4,4.72386964247562e-05,0.07808921441755956,0.011165478458783046,0.7386464008785794,0.021505095064640045,-1.0800221934917377e-05,0.01624302880372852,0.0709885498508811,13288.49365234375,0.023914296180009842,16,2.6876157763859285,1.0
