policy,sample_id,is_niah,never_minus_every_kl,never_better
attention,gov_report:101,False,0.2255491926995779,False
attention,gov_report:102,False,-0.034746546637155706,True
attention,gov_report:103,False,0.0687517199544817,False
attention,gov_report:104,False,-0.008935471484779203,True
attention,gov_report:105,False,0.12743537655649467,False
attention,synthetic_niah_101,True,0.2917885091834853,False
attention,synthetic_niah_102,True,0.36360318902449984,False
attention,synthetic_niah_103,True,0.2864456856974035,False
attention,synthetic_niah_104,True,0.2949505147783606,False
attention,synthetic_niah_105,True,0.37157330295601765,False
b2_uniform,gov_report:101,False,0.0476384137612032,False
b2_uniform,gov_report:102,False,0.013230726175906593,False
b2_uniform,gov_report:103,False,0.0024175303598525932,False
b2_uniform,gov_report:104,False,0.0578232673221257,False
b2_uniform,gov_report:105,False,0.0915790539439466,False
b2_uniform,synthetic_niah_101,True,0.23821334201472089,False
b2_uniform,synthetic_niah_102,True,0.3430897918224427,False
b2_uniform,synthetic_niah_103,True,0.3120238930791137,False
b2_uniform,synthetic_niah_104,True,0.3055998340639251,False
b2_uniform,synthetic_niah_105,True,0.3576799125536252,False
