sample_id,sample_cluster,task,anchor,strategy,lag,attention_error,delta_nll,x_bin,record_type,x_mean,y_mean,y_sd,n_rows,n_samples,ci_low,ci_high
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,1.0,0.16946723063786825,0.06347638509005904,"(0.127, 0.192]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,2.0,0.19313605750600496,0.02255451713446277,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,3.0,0.17848215686778227,0.43928738997963634,"(0.127, 0.192]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,4.0,0.21612988722821078,-0.1382332652768241,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,5.0,0.2821342820922534,0.20963330185943363,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,6.0,0.2672320529818535,0.10001981122245596,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,7.0,0.33270107830564183,0.28012043024347477,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,8.0,0.17839310318231583,0.4509893879637481,"(0.127, 0.192]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,9.0,0.13615872835119566,0.012568921355779139,"(0.127, 0.192]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,10.0,0.22581962992747626,-0.26202691764417807,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,11.0,0.24493512387077013,0.2335799237494598,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,12.0,0.2830602675676346,-0.007999900357631873,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,13.0,0.363717603807648,-0.0008167536997945035,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,14.0,0.26307417328159016,0.001976407539487468,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,15.0,0.2352213996152083,-0.0001717679053001575,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,16.0,0.25949829320112866,2.0560292490756638e-05,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,17.0,0.32286814227700233,0.0012080717129805407,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,18.0,0.2990543060004711,0.00028584644460138975,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,19.0,0.2577485168973605,-0.00036503476220417497,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,20.0,0.25240132833520573,-0.0003742629092684524,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,21.0,0.2662741964062055,-0.00036111094923896303,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,22.0,0.2466383104523023,0.9382423725226232,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,23.0,0.3055649995803833,0.0004762538130194116,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,24.0,0.20390226691961288,-0.0022448777820933685,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,25.0,0.23733031749725342,9.676607551512006e-05,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,26.0,0.34495557596286136,0.41722260530504585,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,27.0,0.3305253703147173,0.06031408364842861,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,28.0,0.30470956427355606,0.2754265526378532,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,29.0,0.3419460567335288,0.022692865745796098,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,30.0,0.3778648376464844,0.8599075597001793,"(0.37, 0.959]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,31.0,0.2267514324436585,0.267221208745795,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,32.0,0.2538377996534109,0.19784971970786813,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,33.0,0.3621711606780688,0.03625984876219235,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,34.0,0.2674890464792649,0.6475951732112826,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,35.0,0.2571592318514983,0.2716119582606069,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,36.0,0.30473840547104675,0.0008792291474293279,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,37.0,0.293955502249446,0.0004987094912465295,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,38.0,0.3296571796139081,0.9761322133085493,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,39.0,0.3779547431816657,0.5909376156558963,"(0.37, 0.959]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,40.0,0.2965063142279784,-0.001155824831542418,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,41.0,0.3626074728866418,1.2798865562368889,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,42.0,0.31436103271941346,0.15918453513185682,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,43.0,0.26497897567848366,0.08933971291894593,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,44.0,0.33691196826597053,0.15057071997954452,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,45.0,0.32846736038724583,0.03233280300283781,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,46.0,0.2655067319671313,0.037052418529693654,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,47.0,0.24636001015702882,0.016070942395572274,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,48.0,0.4594618082046509,0.5486475637750097,"(0.37, 0.959]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,49.0,0.3278120259443919,0.00437124794836663,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,50.0,0.36910796413818997,-0.08748590109189891,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,51.0,0.31889104718963307,0.0033145881926337495,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,52.0,0.2879762959976991,0.8448498145643555,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,53.0,0.4177093567947547,0.13674316089648997,"(0.37, 0.959]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,54.0,0.43740876639882725,0.05696526314415706,"(0.37, 0.959]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,55.0,0.2568909041583538,0.003757022056444015,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,56.0,0.23318956792354584,0.08011253339835989,"(0.192, 0.266]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,57.0,0.5876526559392611,0.8333299307885973,"(0.37, 0.959]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,58.0,0.28173742070794106,0.7361775306746026,"(0.266, 0.37]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,59.0,0.35292478526631993,0.027138758537841312,"(0.266, 0.37]",raw,,,,,,,
