sample_id,sample_cluster,task,anchor,strategy,layer,head,lag,margin,validity,relationship,x_metric,y_metric,x_bin,record_type,x_mean,y_mean,y_sd,n_rows,n_samples,ci_low,ci_high
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,,,,0.000247761607170105,25.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(0.000205, 0.000381]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,snapkv,,,,0.0,38.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(-0.001, 5.2e-05]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,v_ridge_leverage,,,,0.0011714845895767212,7.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(0.000381, 0.00248]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,16.0,attention_weighted_v_ridge_leverage,,,,0.00022147595882415771,13.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(0.000205, 0.000381]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,16.0,snapkv,,,,0.0,49.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(-0.001, 5.2e-05]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,16.0,v_ridge_leverage,,,,0.0003306567668914795,0.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(0.000205, 0.000381]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,48.0,attention_weighted_v_ridge_leverage,,,,0.0012799203395843506,14.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(0.000381, 0.00248]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,48.0,snapkv,,,,0.0,37.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(-0.001, 5.2e-05]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,48.0,v_ridge_leverage,,,,6.341934204101562e-05,1.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(5.2e-05, 0.000205]",raw,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,0.0,attention_weighted_v_ridge_leverage,,,,0.0005984306335449219,44.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(0.000381, 0.00248]",raw,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,0.0,snapkv,,,,0.0,12.0,selection margin -> empirical validity horizon,selection_boundary_margin_anchor,observed_horizon,"(-0.001, 5.2e-05]",raw,,,,,,,
