budget,head,kendall_tau_b,layer,left,n_tokens,pearson,right,sample_id,snapshot_id,spearman,status,unit
128,,0.6249982806559053,0,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=0,head=shared"
128,,0.6249982806559053,1,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=1,head=shared"
128,,0.6249982806559053,10,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=10,head=shared"
128,,0.6249982806559053,11,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=11,head=shared"
128,,0.6249982806559053,12,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=12,head=shared"
128,,0.6249982806559053,13,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=13,head=shared"
128,,0.6249982806559053,14,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=14,head=shared"
128,,0.6249982806559053,15,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=15,head=shared"
128,,0.6249982806559053,16,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=16,head=shared"
128,,0.6249982806559053,17,latest_attention_shared,1010,0.8113202125371094,temporal_volatility_shared,0,6732baabee2653622a63bc8306d2b6fed878830df4fb54938dd86c0997c73acc,0.8119198542393509,ok,"layer=17,head=shared"
