sample_id,task,strategy,refresh_benefit_delta_nll_before,refresh_benefit_delta_nll_at,refresh_benefit_delta_nll_after,refresh_benefit_delta_nll_at_minus_before,refresh_benefit_delta_nll_after_minus_at,selected_in_refreshed_core_layer_fraction_before,selected_in_refreshed_core_layer_fraction_at,selected_in_refreshed_core_layer_fraction_after,selected_in_refreshed_core_layer_fraction_at_minus_before,selected_in_refreshed_core_layer_fraction_after_minus_at,stale_delta_nll_before,stale_delta_nll_at,stale_delta_nll_after,stale_delta_nll_at_minus_before,stale_delta_nll_after_minus_at
gov_report:0,gov_report,attention_weighted_v_ridge_leverage,0.03214271739125252,0.03508015442639589,0.015122842974960804,0.0029374370351433754,-0.01995731145143509,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03233280300283781,0.037052418529693654,0.016070942395572274,0.004719615526855847,-0.02098147613412138
gov_report:0,gov_report,snapkv,3.3283860459923744,1.915241474751383,0.11134495260193944,-1.4131445712409914,-1.8038965221494436,0.0,1.0,1.0,1.0,0.0,3.3253080238320862,1.9128147805628224,0.11153147090340099,-1.4124932432692638,-1.8012833096594214
gov_report:0,gov_report,v_ridge_leverage,-1.6522104740142822,-0.26709651947021484,0.14620273932814598,1.3851139545440674,0.4132992587983608,0.0,0.4642857142857143,0.42857142857142855,0.4642857142857143,-0.035714285714285754,3.081937252424005,2.465167089789812,0.1457559214916273,-0.616770162634193,-2.319411168298185
gov_report:1,gov_report,attention_weighted_v_ridge_leverage,-1.059170424938202,0.08460044860839844,-0.2215278372168541,1.1437708735466003,-0.30612828582525253,0.0,0.35714285714285715,0.2857142857142857,0.35714285714285715,-0.07142857142857145,-0.3624345819768706,0.23044923457133493,-0.14955290847183988,0.5928838165482055,-0.3800021430431748
gov_report:1,gov_report,snapkv,-0.3389277160167694,0.5995156764984131,-0.16272768378257751,0.9384433925151825,-0.7622433602809906,0.0,1.0,1.0,1.0,0.0,-0.45823328302476796,0.770124708738205,-0.06977248632075117,1.228357991762973,-0.8398971950589562
gov_report:1,gov_report,v_ridge_leverage,-0.24937427043914795,0.97093665599823,0.10829940438270569,1.220310926437378,-0.8626372516155243,0.0,0.8571428571428571,0.8214285714285714,0.8571428571428571,-0.0357142857142857,-0.1290618936834136,1.4862001291178437,0.21197187460301592,1.6152620228012573,-1.2742282545148278
gov_report:2,gov_report,attention_weighted_v_ridge_leverage,0.010272253304719925,0.096373051404953,-5.960462772236497e-07,0.08610079810023308,-0.09637364745123023,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.003753331285604844,0.052710760974935766,-2.6954059251238505e-07,0.04895742968933092,-0.05271103051552828
gov_report:2,gov_report,snapkv,0.21719933301210403,1.589661866426468,5.841236571768604e-06,1.3724625334143639,-1.5896560251898961,0.0,1.0,1.0,1.0,0.0,0.2252175442694515,1.6184705091953795,5.810114529936072e-06,1.393252964925928,-1.6184646990808496
gov_report:2,gov_report,v_ridge_leverage,0.04007826745510101,0.3017706871032715,2.384182614889596e-06,0.26169241964817047,-0.3017683029206566,0.0,1.0,0.9642857142857143,1.0,-0.0357142857142857,0.03396562559593619,0.2701013876438658,2.233851304822565e-06,0.23613576204792963,-0.270099153792561
gov_report:3,gov_report,attention_weighted_v_ridge_leverage,4.267598012575036e-05,0.0006336315568660211,0.12269021588144824,0.0005909555767402708,0.12205658432458222,0.0,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.0,4.313250997256546e-05,0.0006325861019007561,0.12276717324093411,0.0005894535919281907,0.12213458713903336
